,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Metrics,DAILY_MARKET_CAPS,,,,,,,
,,ETH,BNB,ADA,SOL,MATIC,AVAX,ATOM,NEAR
,2022-04-21,370910549449,70312408958,30042032727,35158424199,9750765126,21007972339,7111061403,11245357328
,2022-04-22,359917773311,68052602511,29145834793,33918138037,9477491240,20136695081,6821431917,10512029381
,2022-04-23,357702343020,68545771658,29120277968,33613226147,9617251028,19937884647,6754696485,10572754422
,2022-04-24,354358143095,67564303331,28579847077,33668501951,9399762370,19619108454,6811441486,10417218911
,2022-04-25,352895958715,67305356883,28439931065,33192811337,9264903716,19302471370,6552225345,10273664977
,2022-04-26,362590296738,68052709105,28810400546,33812175574,9300396707,19557292373,6473332809,9685490385
,2022-04-27,338098235744,64737401506,26572384251,31900244698,8512194353,18423510355,5924437398,8573657705
,2022-04-28,348355348857,65776057225,26970724275,32839728895,8637659302,18744134633,6331149686,8751736858
,2022-04-29,353388170473,68164491596,27003290039,32699186204,8490435103,18040114058,6058274287,8429494596
,2022-04-30,340291788027,66152617932,25935835072,31459421205,7860500996,17080501262,5707737895,7584824076
,2022-05-01,330211251741,63862082109,24181808101,28318851859,7104638793,15281707942,5198113066,6968254426
,2022-05-02,341626180827,65644187988,25340561983,30026659598,7579995720,15815585462,5277767912,7996030715
,2022-05-03,345080135066,65520745451,25069143084,29293697486,7388717183,16224636109,5228919206,7938111029
,2022-05-04,336655132685,64548901392,24780988986,28715318660,7390559745,16040297489,5188900563,7996473438
,2022-05-05,355229761723,67720818328,28751156734,30994771500,8030355471,18020225158,5805524349,8787169437
,2022-05-06,332103738940,63635450816,25432773607,28284214619,7314940090,15886375175,5229684891,7591129560
,2022-05-07,325971900416,63931869616,26584156718,27380670119,7187279644,15352458723,5183781530,7338512050
,2022-05-08,319030900104,61694401854,25894707554,26603063058,7041795696,14911809171,4845566551,7121797601
,2022-05-09,304412453306,59770459493,25075364018,25191538889,6696374329,13841845522,4587243331,7552800894
,2022-05-10,271594796947,50859142820,20913667251,21563497317,5684212092,11467821751,3810368897,6575589880
,2022-05-11,283082341315,53628718914,21201814152,22405510213,6106093771,11914973096,3967896109,6514420556
,2022-05-12,250066823475,44475852348,16938551697,16302314327,4278135544,8460079828,3030690043,4287760894
,2022-05-13,238137944006,45445655852,16116047161,15038211406,4154826689,8226313819,2871519172,4444162852
,2022-05-14,243391440609,49020764852,17889561170,16446880064,4585487677,8603893978,3007677544,4455078462
,2022-05-15,249319115268,49702725964,18236404473,17710082184,4716401935,9150641461,3180922373,4613868623
,2022-05-16,259350256988,52549787608,20211047770,19795956495,5036766007,9793084735,3601404838,5052302442
,2022-05-17,244741893934,50065379603,18840988244,18091955634,4654880112,8782139431,3221913029,4502898377
,2022-05-18,253640825086,51662703575,19627472576,19373241293,5026948744,9293581029,3367196806,4618852888
,2022-05-19,232056327520,48512726766,17162201163,16804431124,4323957132,8010833954,2955905115,4109608623
,2022-05-20,244359004843,51737725724,18099222176,17743141449,4554366761,8192254198,3198706970,4242415105
,2022-05-21,237366807799,50943276041,17533911905,16857955014,4379667798,7807272839,3276383150,3980336387
,2022-05-22,239102942425,52595859004,17907559108,17117178968,4475487697,8085455272,3251837829,4241678561
,2022-05-23,247730054115,53787029351,18382284486,17927983077,4668514225,8601568204,3350891305,4349336820
,2022-05-24,238722810744,53466327177,17359814467,16667943417,4409807572,7819159442,3271636885,4059811946
,2022-05-25,239375431793,55142195074,17625461350,16838184203,4536429896,7836436509,3244162490,4157178653
,2022-05-26,235347664835,54907712189,17398748801,16335715467,4451830830,7400321288,3137283867,4000186565
,2022-05-27,219247293980,51941575183,16364002617,14806873946,4142648729,6422316418,2822983292,3658472000
,2022-05-28,208622909554,50654148963,15376990672,13886425336,3940247375,6070137742,2706579855,3346533530
,2022-05-29,217791356993,52054875073,15820886951,15147901019,4054417495,6803542271,2783399489,3520474460
,2022-05-30,219535934458,51494080031,16291452374,15240706244,4115308343,7078288723,2813422929,3632708372
,2022-05-31,241204871683,54167940539,19316903360,16054338780,4511365813,7508370593,3075181833,4039968376
,2022-06-01,235235428449,54115193869,21403006491,15607744325,4554325283,7208555807,3015497026,4203911235
,2022-06-02,221596716649,50589204416,18744362732,13719294295,4144902805,6506933109,2751141755,3769221926
,2022-06-03,222487488381,50390903059,19880524128,13925500009,4261946678,6934634023,2823079286,3953608116
,2022-06-04,214879733567,48729625301,18946974768,12945160667,4038312449,6438959869,2679504117,3672678188
,2022-06-05,217832477905,49215183114,19061063640,13170913880,4085701249,6883334169,2692136335,3731079630
,2022-06-06,218561175508,48872078493,19252585858,13116723565,4118430532,6811077765,2696575701,3762954341
,2022-06-07,225224111086,48425486341,20641927010,14456497792,4351837741,7287882122,2772685768,3886205126
,2022-06-08,220727955347,47501410274,20863737286,13508568426,4263393048,6970805482,2718692906,3703291246
